time,G(i),H_sun,T2m,WS10m,Int
20200114:1911,0,0,2.4,5.79,0
20200114:2011,0,0,2.77,6.48,0
20200114:2111,0,0,2.92,6.55,0
20200114:2211,0,0,2.74,6.69,0
20200114:2311,0,0,2.51,6.9,0
20200115:0011,0,0,2.5,7.17,0
20200115:0111,0,0,2.38,7.45,0
20200115:0211,0,0,2.4,7.66,0
20200115:0311,0,0,2.51,7.72,0
20200115:0411,0,0,2.59,7.72,0
20200115:0511,0,0,2.65,7.86,0
20200115:0611,0,0,2.71,8.07,0
20200115:0711,0,0,3.2,8.28,0
20200115:0811,0,0,3.33,8.34,0
20200115:0911,270.75,3.41,3.45,8.41,0
20200115:1011,257.2,8.42,3.83,8.76,0
20200115:1111,535.87,11.71,4.43,9.38,0
20200115:1211,498.64,13.02,4.98,9.86,0
20200115:1311,471.52,12.25,5.28,10.34,0
20200115:1411,499.61,9.44,5.34,10.14,0
20200115:1511,288.49,4.85,5.22,9.79,0
20200115:1611,0,0,5.03,9.52,0
20200115:1711,0,0,4.97,9.38,0
20200115:1811,0,0,4.94,9.31,0
20200115:1911,0,0,5.02,9.31,0
20200115:2011,0,0,4.77,8.97,0
20200115:2111,0,0,4.5,8.76,0
20200115:2211,0,0,4.34,8.48,0
20200115:2311,0,0,4.16,7.86,0
20200116:0011,0,0,3.92,7.38,0
20200116:0111,0,0,3.84,7.24,0
20200116:0211,0,0,3.74,6.83,0
20200116:0311,0,0,3.81,6.62,0
20200116:0411,0,0,4.25,6.41,0
20200116:0511,0,0,4.5,6.07,0
20200116:0611,0,0,4.52,5.38,0
20200116:0711,0,0,4.69,5.79,0
20200116:0811,0,0,4.82,6.28,0
20200116:0911,22.76,3.55,5.16,6.55,0
20200116:1011,78.37,8.57,5.54,6.76,0
20200116:1111,29.92,11.88,6.09,6.97,0
20200116:1211,236.93,13.21,6.5,6.97,0
20200116:1311,31.12,12.44,6.51,6.55,0
20200116:1411,16.16,9.65,6.53,7.24,0
20200116:1511,5.98,5.05,6.76,8.07,0
20200116:1611,0,0,7.07,9.1,0
20200116:1711,0,0,7.52,9.03,0
20200116:1811,0,0,8.07,8.97,0
20200116:1911,0,0,8.35,8.48,0
20200116:2011,0,0,8.3,8,0
20200116:2111,0,0,8.05,7.17,0
20200116:2211,0,0,6.99,6.76,0
20200116:2311,0,0,6.04,7.1,0
20200117:0011,0,0,5.4,6.97,0
20200117:0111,0,0,4.95,6.21,0
20200117:0211,0,0,4.51,5.45,0
20200117:0311,0,0,4.07,4.97,0
20200117:0411,0,0,3.63,4.41,0
20200117:0511,0,0,3.19,4,0
20200117:0611,0,0,2.99,3.79,0
20200117:0711,0,0,2.69,3.66,0
20200117:0811,0,0,2.74,3.66,0
20200117:0911,37.9,3.69,2.82,3.45,0
20200117:1011,94.14,8.73,3.13,3.45,0
20200117:1111,142.9,12.06,3.78,3.86,0
20200117:1211,39.5,13.4,4.34,4.28,0
20200117:1311,725.42,12.64,4.48,4.62,0
20200117:1411,94.18,9.85,4.52,5.93,0
20200117:1511,7.18,5.26,4.29,6,0
20200117:1611,0,0,3.86,5.79,0
20200117:1711,0,0,3.52,5.72,0
20200117:1811,0,0,3.4,5.79,0
20200117:1911,0,0,3.57,5.45,0
20200117:2011,0,0,3.47,5.45,0
20200117:2111,0,0,3.34,5.45,0
20200117:2211,0,0,3.21,5.45,0
20200117:2311,0,0,2.98,5.59,0
20200118:0011,0,0,2.71,5.93,0
20200118:0111,0,0,2.47,6.14,0
20200118:0211,0,0,2.19,6.28,0
20200118:0311,0,0,2.13,6.41,0
20200118:0411,0,0,2.05,6.48,0
20200118:0511,0,0,1.99,6.48,0
20200118:0611,0,0,1.9,6.34,0
20200118:0711,0,0,2.03,6.41,0
20200118:0811,0,0,1.98,6.34,0
20200118:0911,88.63,3.84,1.91,6.34,0
20200118:1011,497.68,8.9,2.26,6.34,0
20200118:1111,635.88,12.24,2.87,6.28,0
20200118:1211,699.25,13.6,3.36,6.28,0
20200118:1311,437.64,12.85,3.81,6.34,0
20200118:1411,583.62,10.07,4.04,6,0
20200118:1511,392.49,5.48,3.96,5.59,0
20200118:1611,0,0,3.57,5.31,0
20200118:1711,0,0,3.16,5.03,0
20200118:1811,0,0,2.87,4.83,0
20200118:1911,0,0,2.61,5.17,0
20200118:2011,0,0,2.55,5.1,0
20200118:2111,0,0,2.48,4.9,0
20200118:2211,0,0,2.31,4.41,0
20200118:2311,0,0,2.05,4,0
20200119:0011,0,0,1.76,3.72,0
20200119:0111,0,0,1.74,3.59,0
20200119:0211,0,0,1.44,3.45,0
20200119:0311,0,0,1.3,3.45,0
20200119:0411,0,0,1.26,3.38,0
20200119:0511,0,0,1.26,3.52,0
20200119:0611,0,0,1.44,3.66,0
20200119:0711,0,0,1.31,3.66,0
20200119:0811,0,0,1.36,3.72,0
20200119:0911,86.53,4,1.48,3.79,0
20200119:1011,541.07,9.07,2.26,3.86,0
20200119:1111,584.15,12.43,3.42,4.14,0
20200119:1211,205.18,13.81,4.36,4.14,0
20200119:1311,47.11,13.07,4.9,4.14,0
20200119:1411,14.96,10.29,4.77,4.62,0
20200119:1511,69.56,5.7,4.75,5.03,0
20200119:1611,0,0,4.62,5.31,0
20200119:1711,0,0,4.08,5.52,0
20200119:1811,0,0,3.65,5.66,0
20200119:1911,0,0,4,6.34,0
20200119:2011,0,0,4.19,6.41,0
20200119:2111,0,0,4.22,6.41,0
20200119:2211,0,0,4.05,6.41,0
20200119:2311,0,0,3.91,6.34,0
20200120:0011,0,0,3.86,6.14,0
20200120:0111,0,0,4.12,6,0
20200120:0211,0,0,4.16,5.93,0
20200120:0311,0,0,4.08,5.79,0
20200120:0411,0,0,4.06,5.72,0
20200120:0511,0,0,4.09,5.79,0
20200120:0611,0,0,4.2,5.79,0
20200120:0711,0,0,4.37,5.79,0
20200120:0811,0,0,4.44,5.86,0
20200120:0911,61.13,4.16,4.45,5.93,0
20200120:1011,212.95,9.25,4.96,6,0
20200120:1111,411.59,12.63,5.73,5.79,0
20200120:1211,468.56,14.02,6.4,5.79,0
20200120:1311,303.42,13.29,6.82,6.14,0
20200120:1411,510.09,10.51,6.88,6.55,0
20200120:1511,173.52,5.92,6.56,6.62,0
20200120:1611,0,0,6.09,6.48,0
20200120:1711,0,0,5.8,6.28,0
20200120:1811,0,0,5.72,6.21,0
20200120:1911,0,0,5.64,6.07,0
20200120:2011,0,0,5.68,6.28,0
20200120:2111,0,0,5.72,6.34,0
20200120:2211,0,0,5.82,6.28,0
20200120:2311,0,0,5.97,6.14,0
20200121:0011,0,0,6.08,6,0
20200121:0111,0,0,6.15,5.45,0
20200121:0211,0,0,6.23,5.1,0
20200121:0311,0,0,6.46,5.24,0
20200121:0411,0,0,6.81,5.24,0
20200121:0511,0,0,6.99,4.9,0
20200121:0611,0,0,7.03,4.62,0
20200121:0711,0,0,7.13,4.97,0
20200121:0811,0,0,7.29,4.9,0
20200121:0911,5.98,4.33,7.67,4.9,0
20200121:1011,472.77,9.44,8.11,4.9,0
20200121:1111,43.45,12.84,8.65,4.34,0
20200121:1211,116.47,14.24,9.02,5.45,0
20200121:1311,138.88,13.51,9.13,5.17,0
20200121:1411,611.75,10.74,9.27,5.38,0
20200121:1511,37.29,6.15,9.28,5.03,0
20200121:1611,0,0,9.05,4.83,0
20200121:1711,0,0,8.92,4.48,0
20200121:1811,0,0,8.86,4.28,0
20200121:1911,0,0,8.68,3.86,0
20200121:2011,0,0,8.59,3.79,0
20200121:2111,0,0,8.61,3.93,0
20200121:2211,0,0,8.58,4,0
20200121:2311,0,0,8.53,4.07,0
20200122:0011,0,0,8.51,4.07,0
20200122:0111,0,0,8.11,4.07,0
20200122:0211,0,0,8.12,3.93,0
20200122:0311,0,0,8.14,3.72,0
20200122:0411,0,0,8.06,3.59,0
20200122:0511,0,0,8.1,3.72,0
20200122:0611,0,0,7.95,4,0
20200122:0711,0,0,8.49,3.72,0
20200122:0811,0,0,8.23,3.79,0
20200122:0911,136.4,4.51,7.68,3.79,0
20200122:1011,320.66,9.64,7.75,3.86,0
20200122:1111,212.8,13.05,8,4.14,0
20200122:1211,117.53,14.46,8.37,4.34,0
20200122:1311,31.72,13.75,8.44,4.07,0
20200122:1411,111.53,10.98,8.44,4,0
20200122:1511,75.25,6.38,8.42,3.66,0
20200122:1611,0,0,7.95,3.03,0
20200122:1711,0,0,7.83,2.97,0
20200122:1811,0,0,7.61,2.83,0
20200122:1911,0,0,7.87,3.03,0
20200122:2011,0,0,7.81,2.9,0
20200122:2111,0,0,7.95,2.9,0
20200122:2211,0,0,7.98,2.97,0
20200122:2311,0,0,7.75,3.1,0
20200123:0011,0,0,7.56,3.31,0
20200123:0111,0,0,7.73,3.38,0
20200123:0211,0,0,7.47,3.59,0
20200123:0311,0,0,7.42,4,0
20200123:0411,0,0,7.38,4.41,0
20200123:0511,0,0,7.27,4.55,0
20200123:0611,0,0,7.12,4.55,0
20200123:0711,0,0,7.26,4.55,0
20200123:0811,0,0,7.34,4.76,0
20200123:0911,3.59,4.7,7.43,4.97,0
20200123:1011,37.83,9.84,7.42,5.03,0
20200123:1111,56.29,13.26,7.38,4.97,0
20200123:1211,44.29,14.69,7.58,5.79,0
20200123:1311,66.45,13.99,7.6,5.24,0
20200123:1411,118.03,11.22,7.7,4.97,0
20200123:1511,83.04,6.62,7.72,4.76,0
20200123:1611,0,0,7.53,4.55,0
20200123:1711,0,0,7.24,4.55,0
20200123:1811,0,0,6.63,4.69,0
20200123:1911,0,0,6.46,5.17,0
20200123:2011,0,0,6.48,5.17,0
